Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,_version:1,_order:1005
5e8fe279-af21-5059-947a-cc06f71391d2,,ACT-RHD:urgent_emergent,Urgent/Emergent,,,Misc,N/A,,,
302eda9b-16f5-5b84-81ab-623990616233,,ACT-RHD:vaginal_birth,Vaginal birth,,,Misc,N/A,,,
36ce4f25-03d4-5447-aba0-48545be2281c,,ACT-RHD:whichever_is_longer,Whichever is longer,,,Misc,N/A,,,
a655d3a4-5d60-5e79-9b9c-e6b38bf84d46,,ACT-RHD:withdrawn_from_study,Withdrawn from study,,,Misc,N/A,,,
358b8fc2-744e-5ab9-9e7d-5c28f997fe66,,ACT-RHD:wilkins_score_1,Wilkins Score 1,,,Misc,N/A,,,
46247161-4c7b-519d-8006-774be9bc1cdc,,ACT-RHD:wilkins_score_2,Wilkins Score 2,,,Misc,N/A,,,
902f820a-b338-59e3-a782-d83a829475a6,,ACT-RHD:wilkins_score_3,Wilkins Score 3,,,Misc,N/A,,,
6092350d-98bf-57eb-8d05-fe909c12b1bf,,ACT-RHD:wilkins_score_4,Wilkins Score 4,,,Misc,N/A,,,
dcf1240f-e98f-5e59-b5fc-9cad7d3e3f23,,ACT-RHD:wilkins_score_5,Wilkins Score 5,,,Misc,N/A,,,
66a0177a-3ab0-5ff5-86fb-f3053d7a1e6a,,ACT-RHD:wilkins_score_6,Wilkins Score 6,,,Misc,N/A,,,
479983aa-e774-50f9-928c-d021e83482b2,,ACT-RHD:wilkins_score_7,Wilkins Score 7,,,Misc,N/A,,,
57082d89-07be-5c19-b69d-4729cdf9a223,,ACT-RHD:wilkins_score_8,Wilkins Score 8,,,Misc,N/A,,,
4e485afe-28dc-5bdd-ae81-52a29bedcc94,,ACT-RHD:wilkins_score_9,Wilkins Score 9,,,Misc,N/A,,,
8d50b4b6-e937-587e-9b57-a6ac0e259b3f,,ACT-RHD:wilkins_score_10,Wilkins Score 10,,,Misc,N/A,,,
b4072bf9-f023-5afa-8a7e-20f6ce6602c5,,ACT-RHD:wilkins_score_11,Wilkins Score 11,,,Misc,N/A,,,
8add169a-473e-5f46-bed7-3ff6f4d1b155,,ACT-RHD:wilkins_score_12,Wilkins Score 12,,,Misc,N/A,,,
28c625e7-b03f-5518-9e6f-bb627abcc54d,,ACT-RHD:wilkins_score_13,Wilkins Score 13,,,Misc,N/A,,,
8aabf5a8-a353-5fef-9975-13725d9502c4,,ACT-RHD:wilkins_score_14,Wilkins Score 14,,,Misc,N/A,,,
e8ab3b7f-4856-565c-9619-f8c65c550e9c,,ACT-RHD:wilkins_score_15,Wilkins Score 15,,,Misc,N/A,,,
0e9cfdcb-69b5-51d6-8886-26d5bc54937c,,ACT-RHD:wilkins_score_16,Wilkins Score 16,,,Misc,N/A,,,
0852128c-ab7d-5ac9-9930-34bf6c672b42,,ACT-RHD:mildly_dilated,Mildly Dilated,,,Misc,N/A,,,
2d9a827a-3604-54bd-8975-f00f5acdf9c7,,ACT-RHD:moderately_dilated,Moderately Dilated,,,Misc,N/A,,,
aeed7e23-586c-5b5a-a646-98becbea5476,,ACT-RHD:severely_dilated,Severely Dilated,,,Misc,N/A,,,
