Void/Retire,Entity UUID,Entity class,Basis UUID,Basis class,_order:1000
,2d09a0e2-240a-4dd7-9c3e-9e2cd2cb2d1f,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b72c1604,org.openmrs.Location,1000
,2d09a0e2-240a-4dd7-9c3e-9e2cd2cb2d1f,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b72c1606,org.openmrs.Location,1000
,4ef1f0f9-fee6-414b-910d-28e17df345c2,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2040000,org.openmrs.Location,1000
,4ef1f0f9-fee6-414b-910d-28e17df345c2,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2070000,org.openmrs.Location,1000
,4ef1f0f9-fee6-414b-910d-28e17df345c2,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2220000,org.openmrs.Location,1000
,4ef1f0f9-fee6-414b-910d-28e17df345c2,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2270304,org.openmrs.Location,1000
,4ef1f0f9-fee6-414b-910d-28e17df345c2,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b72c1604,org.openmrs.Location,1000
,4ef1f0f9-fee6-414b-910d-28e17df345c2,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b72c1606,org.openmrs.Location,1000
,564b560e-3fe8-4829-8be4-68ddb40cf106,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2040000,org.openmrs.Location,1000
,564b560e-3fe8-4829-8be4-68ddb40cf106,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2070000,org.openmrs.Location,1000
,564b560e-3fe8-4829-8be4-68ddb40cf106,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2220000,org.openmrs.Location,1000
,564b560e-3fe8-4829-8be4-68ddb40cf106,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2270304,org.openmrs.Location,1000
,564b560e-3fe8-4829-8be4-68ddb40cf106,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b72c1604,org.openmrs.Location,1000
,58f60da3-03bd-4b57-bb3c-429b50f6939b,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2220000,org.openmrs.Location,1000
,58f60da3-03bd-4b57-bb3c-429b50f6939b,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2270304,org.openmrs.Location,1000
,58f60da3-03bd-4b57-bb3c-429b50f6939b,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b72c1604,org.openmrs.Location,1000
,58f60da3-03bd-4b57-bb3c-429b50f6939b,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b72c1605,org.openmrs.Location,1000
,58f60da3-03bd-4b57-bb3c-429b50f6939b,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b72c1606,org.openmrs.Location,1000
,66fa1ec4-5d30-4127-a693-d8b1f9519a14,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2010000,org.openmrs.Location,1000
,66fa1ec4-5d30-4127-a693-d8b1f9519a14,org.openmrs.Role,35d2234e-129a-4c40-abb2-1ae0b2011400,org.openmrs.Location,1000
